"","spp","plate","trt","dayGerm","root1","root2","root3","root4","root5","root6","root7","root8","root9","root10","root11","root12","day.hit.bottom","notes"
"1","oid","P01","ctrl",2,8.22,23.87,45.99,71.21,95.66,117.46,127.72,132.68,135.31,141.82,151.62,NA,"none",""
"2","chi","P01","ctrl",1,6.18,9.88,23.67,39.53,55.97,71.07,83.98,100.07,113.75,128.37,134.1,135.6,"none",""
"3","per","P01","ctrl",12,47.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",""
"4","pim","P01","ctrl",1,8.91,42.06,62.34,81.39,103.99,126.99,135.92,139.27,139.47,140.67,140.67,140.67,"none",""
"5","arc","P01","ctrl",3,3.08,6.24,13.09,23.8,33.47,44.54,54.15,64.12,70.66,80.52,NA,NA,"none",""
"6","hab","P01","ctrl",1,3.79,9.94,16.95,25.84,37.51,51.9,63.86,70.03,73.23,77.93,78.53,79.54,"none",""
"7","sit","P01","ctrl",1,11.5,21.12,32.49,43.88,57.3,70.52,84.04,100.45,116.5,134.35,134.35,142.03,"none",""
"8","chm","P01","ctrl",1,20.19,28.4,38.41,45.35,52.38,57.34,62.28,66.12,67.16,67.59,67.59,68.29,"none",""
"9","chm","P02","ctrl",1,13.05,23.07,33.52,40.9,48.89,55.4,60.14,64.52,66.25,66.37,66.37,66.87,"none",""
"10","arc","P02","ctrl",4,1.89,4.22,11.08,18.62,25.14,29.97,34.91,37.57,42.03,NA,NA,NA,"none",""
"11","oid","P02","ctrl",3,17.93,43.76,75.47,104.55,124.37,131.89,143.59,151.39,158.59,161.94,NA,NA,"none",""
"12","sit","P02","ctrl",1,8.77,21.05,38.11,57.16,76.49,92.33,107.43,122.91,129.92,133.53,133.53,134.28,"none",""
"13","pim","P02","ctrl",1,24.25,42.74,63.1,82.39,104.65,124.74,132.86,139.05,142.2,146.74,146.88,148.19,"none",""
"14","lyc","P02","ctrl",1,10.22,29.65,52.71,73.16,96.39,118.76,127.51,131.82,132.26,135.65,137.89,138.8,"none",""
"15","hab","P02","ctrl",1,6.4,12.29,19.88,27.94,38.08,49.2,60.69,75.08,89.97,105.64,114.7,123.8,"none",""
"16","chi","P02","ctrl",1,14.34,19.89,28.5,36.38,47.01,55.23,66.19,77.78,91.73,109.91,121.39,132.34,"none",""
"17","lyc","P03","ctrl",3,1.03,4.28,16.38,32.93,48.33,70.02,87.68,99.24,107.09,119.22,NA,NA,"none",""
"18","pim","P03","ctrl",1,21.02,37.46,56.99,74.09,96.09,118.18,137.17,144.04,149.69,155.49,156.1,157.54,"none",""
"19","chm","P03","ctrl",1,15.02,22.46,30.06,36.42,42.11,46.37,48.32,48.32,48.56,48.83,50.27,52.94,"none",""
"20","oid","P03","ctrl",3,4.92,8.81,12.55,16.57,18.42,19.92,22.79,26.64,27.72,29.75,NA,NA,"none",""
"21","hab","P03","ctrl",1,6.81,13.13,21.03,29.57,41.12,53.04,64.98,78.79,92.33,107.86,118.64,123.12,"none",""
"22","arc","P03","ctrl",11,4.03,14.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",""
"23","chi","P03","ctrl",1,11.51,24.9,44.71,63.87,86.5,106.48,125.4,130.74,134.6,134.6,134.6,135.05,"none",""
"24","sit","P04","ctrl",1,9.28,19.78,32.78,46.6,63.85,82.71,99.98,119.56,NA,NA,NA,NA,"8","hid bottom of plate day 8"
"25","per","P04","ctrl",3,1.65,6.46,17.21,28.02,38.7,50.64,63.86,78.23,89.34,107.25,NA,NA,"none",""
"26","oid","P04","ctrl",4,4.49,10.55,20.68,33.45,48.43,60.54,77.88,90.42,110.3,NA,NA,NA,"none",""
"27","arc","P04","ctrl",7,2.89,6.42,8.81,11.38,13.27,17.04,NA,NA,NA,NA,NA,NA,"none",""
"28","pim","P04","ctrl",1,18.64,35.48,57.28,77.52,101.47,125.72,134.14,NA,NA,NA,NA,NA,"7","hits bottom of plate at day 7"
"29","chi","P04","ctrl",1,14.52,23.51,24.1,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,"none",""
"30","lyc","P04","ctrl",1,24.65,48.27,75.92,99.75,124.35,135.78,NA,NA,NA,NA,NA,NA,"6","hits bottom of plate at day 6"
"31","hab","P04","ctrl",1,8.57,14.5,20.97,27.32,35.39,44.93,56.36,69.86,84.28,100.43,111.9,127.3,"none",""
"32","oid","P05","ctrl",3,5.03,19.63,36.44,54.46,70.64,89.13,107.46,123.35,124.45,132.96,NA,NA,"10","hits bottom of plate at day 10"
"33","sit","P05","ctrl",1,12.32,18.12,30.41,42.69,50.86,56.58,63.27,70.37,76.41,83.76,85.6,95.1,"none",""
"34","chi","P05","ctrl",1,5.04,16.35,30.28,55.26,72.77,104.07,NA,NA,NA,NA,NA,NA,"6","hits bottom of plate at day 6"
"35","lyc","P05","ctrl",1,19.53,27.15,37.69,45.83,48.97,NA,NA,NA,NA,NA,NA,NA,"5","hts bottom of plate day 5"
"36","hab","P05","ctrl",1,8.33,14.59,24.69,33.56,44.5,55.87,67.3,79.92,92.7,105.36,113.39,125.8,"none",""
