"","spp","plate","trt","dayGerm","rootLen","day","spptrt","ID","phylo"
"1","oid","P01","ctrl","2",8.22,1,"oidctrl","oidP01","oid"
"2","chi","P01","ctrl","1",6.18,1,"chictrl","chiP01","chi"
"4","pim","P01","ctrl","1",8.91,1,"pimctrl","pimP01","pim"
"5","arc","P01","ctrl","3",3.08,1,"arcctrl","arcP01","arc"
"6","hab","P01","ctrl","1",3.79,1,"habctrl","habP01","hab"
"7","sit","P01","ctrl","1",11.5,1,"sitctrl","sitP01","sit"
"8","chm","P01","ctrl","1",20.19,1,"chmctrl","chmP01","chm"
"9","chm","P02","ctrl","1",13.05,1,"chmctrl","chmP02","chm"
"10","arc","P02","ctrl","4",1.89,1,"arcctrl","arcP02","arc"
"11","oid","P02","ctrl","3",17.93,1,"oidctrl","oidP02","oid"
"12","sit","P02","ctrl","1",8.77,1,"sitctrl","sitP02","sit"
"13","pim","P02","ctrl","1",24.25,1,"pimctrl","pimP02","pim"
"14","lyc","P02","ctrl","1",10.22,1,"lycctrl","lycP02","lyc"
"15","hab","P02","ctrl","1",6.4,1,"habctrl","habP02","hab"
"16","chi","P02","ctrl","1",14.34,1,"chictrl","chiP02","chi"
"17","lyc","P03","ctrl","3",1.03,1,"lycctrl","lycP03","lyc"
"18","pim","P03","ctrl","1",21.02,1,"pimctrl","pimP03","pim"
"19","chm","P03","ctrl","1",15.02,1,"chmctrl","chmP03","chm"
"20","oid","P03","ctrl","3",4.92,1,"oidctrl","oidP03","oid"
"21","hab","P03","ctrl","1",6.81,1,"habctrl","habP03","hab"
"22","arc","P03","ctrl","11",4.03,1,"arcctrl","arcP03","arc"
"23","chi","P03","ctrl","1",11.51,1,"chictrl","chiP03","chi"
"24","sit","P04","ctrl","1",9.28,1,"sitctrl","sitP04","sit"
"25","per","P04","ctrl","3",1.65,1,"perctrl","perP04","per"
"26","oid","P04","ctrl","4",4.49,1,"oidctrl","oidP04","oid"
"27","arc","P04","ctrl","7",2.89,1,"arcctrl","arcP04","arc"
