"","spp","plate","trt","dayGerm","variable","stemLen","day","spptrt","ID","phylo"
"1","oid","P01","ctrl","2","stem1",2.1712164,1,"oidctrl","oidP01","oid"
"2","chi","P01","ctrl","1","stem1",6.180452696,1,"chictrl","chiP01","chi"
"3","pim","P01","ctrl","0","stem1",8.905914259,1,"pimctrl","pimP01","pim"
"4","arc","P01","ctrl","3","stem1",0,1,"arcctrl","arcP01","arc"
"5","hab","P01","ctrl","1","stem1",2.395848545,1,"habctrl","habP01","hab"
"6","sit","P01","ctrl","1","stem1",4.452904975,1,"sitctrl","sitP01","sit"
"7","chm","P01","ctrl","0","stem1",5.081255867,1,"chmctrl","chmP01","chm"
"8","chm","P02","ctrl","1","stem1",1.877542505,1,"chmctrl","chmP02","chm"
"9","arc","P02","ctrl","4","stem1",0,1,"arcctrl","arcP02","arc"
"10","oid","P02","ctrl","3","stem1",17.92840553,1,"oidctrl","oidP02","oid"
"11","sit","P02","ctrl","1","stem1",8.002294774,1,"sitctrl","sitP02","sit"
"12","pim","P02","ctrl","0","stem1",11.61426932,1,"pimctrl","pimP02","pim"
"13","lyc","P02","ctrl","0","stem1",9.320642537,1,"lycctrl","lycP02","lyc"
"14","hab","P02","ctrl","1","stem1",3.917492438,1,"habctrl","habP02","hab"
"15","chi","P02","ctrl","1","stem1",3.722019401,1,"chictrl","chiP02","chi"
"16","lyc","P03","ctrl","2","stem1",0,1,"lycctrl","lycP03","lyc"
"17","pim","P03","ctrl","0","stem1",10.04829457,1,"pimctrl","pimP03","pim"
"18","chm","P03","ctrl","0","stem1",7.57588401,1,"chmctrl","chmP03","chm"
"19","oid","P03","ctrl","1","stem1",0,1,"oidctrl","oidP03","oid"
"20","hab","P03","ctrl","1","stem1",0,1,"habctrl","habP03","hab"
"21","arc","P03","ctrl","11","stem1",3.323371251,1,"arcctrl","arcP03","arc"
"22","chi","P03","ctrl","1","stem1",7.983519349,1,"chictrl","chiP03","chi"
"23","sit","P04","ctrl","1","stem1",2.747783457,1,"sitctrl","sitP04","sit"
"24","per","P04","ctrl","3","stem1",0,1,"perctrl","perP04","per"
"25","oid","P04","ctrl","2","stem1",0,1,"oidctrl","oidP04","oid"
"26","arc","P04","ctrl","5","stem1",2.415894546,1,"arcctrl","arcP04","arc"
"27","pim","P04","ctrl","0","stem1",8.256075936,1,"pimctrl","pimP04","pim"
"28","chi","P04","ctrl","0","stem1",3.920830291,1,"chictrl","chiP04","chi"
"29","lyc","P04","ctrl","0","stem1",16.94586419,1,"lycctrl","lycP04","lyc"
"30","hab","P04","ctrl","1","stem1",2.542505476,1,"habctrl","habP04","hab"
"31","oid","P05","ctrl","3","stem1",1.569683272,1,"oidctrl","oidP05","oid"
"32","sit","P05","ctrl","1","stem1",10.20235736,1,"sitctrl","sitP05","sit"
"33","chi","P05","ctrl","0","stem1",9.642849692,1,"chictrl","chiP05","chi"
